Family,File,Nodes,Algorithm,AvgTime_ms
Square-C,Square-C.3.0.gr,1048576,radixheap-single,168.34
Square-C,Square-C.3.0.gr,1048576,radixheap-random,161.58
Square-C,Square-C.3.0.gr,1048576,dial-single,152.83
Square-C,Square-C.3.0.gr,1048576,dial-random,143.16
Square-C,Square-C.4.0.gr,1048576,dijkstra-single,318.73
Square-C,Square-C.4.0.gr,1048576,dijkstra-random,325.08
Square-C,Square-C.4.0.gr,1048576,radixheap-single,181.34
Square-C,Square-C.4.0.gr,1048576,radixheap-random,182.01
Square-C,Square-C.4.0.gr,1048576,dial-single,146.45
Square-C,Square-C.4.0.gr,1048576,dial-random,157.95
Square-C,Square-C.5.0.gr,1048576,dijkstra-single,348.61
Square-C,Square-C.5.0.gr,1048576,dijkstra-random,327.3
Square-C,Square-C.5.0.gr,1048576,radixheap-single,229.27
Square-C,Square-C.5.0.gr,1048576,radixheap-random,224.42
Square-C,Square-C.5.0.gr,1048576,dial-single,162.41
Square-C,Square-C.5.0.gr,1048576,dial-random,160.75
Square-C,Square-C.6.0.gr,1048576,dijkstra-single,318.61
Square-C,Square-C.6.0.gr,1048576,dijkstra-random,328.13
Square-C,Square-C.6.0.gr,1048576,radixheap-single,287.37
Square-C,Square-C.6.0.gr,1048576,radixheap-random,301.21
Square-C,Square-C.6.0.gr,1048576,dial-single,178.35
Square-C,Square-C.6.0.gr,1048576,dial-random,188.97
Square-C,Square-C.7.0.gr,1048576,dijkstra-single,333.73
Square-C,Square-C.7.0.gr,1048576,dijkstra-random,323.26
Square-C,Square-C.7.0.gr,1048576,radixheap-single,366.84
Square-C,Square-C.7.0.gr,1048576,radixheap-random,333.92
Square-C,Square-C.7.0.gr,1048576,dial-single,240.52
Square-C,Square-C.7.0.gr,1048576,dial-random,225.25
Square-C,Square-C.8.0.gr,1048576,dijkstra-single,316.12
Square-C,Square-C.8.0.gr,1048576,dijkstra-random,309.97
Square-C,Square-C.8.0.gr,1048576,radixheap-single,378.53
Square-C,Square-C.8.0.gr,1048576,radixheap-random,349.81
Square-C,Square-C.8.0.gr,1048576,dial-single,367.4
Square-C,Square-C.8.0.gr,1048576,dial-random,338.15
Square-C,Square-C.9.0.gr,1048576,dijkstra-single,327.89
Square-C,Square-C.9.0.gr,1048576,dijkstra-random,307.12
Square-C,Square-C.9.0.gr,1048576,radixheap-single,380.33
Square-C,Square-C.9.0.gr,1048576,radixheap-random,354.33
Square-C,Square-C.9.0.gr,1048576,dial-single,733.66
Square-C,Square-C.9.0.gr,1048576,dial-random,715.74
Square-C,Square-C.10.0.gr,1048576,dijkstra-single,329.89
Square-C,Square-C.10.0.gr,1048576,dijkstra-random,311.78
Square-C,Square-C.10.0.gr,1048576,radixheap-single,377.21
Square-C,Square-C.10.0.gr,1048576,radixheap-random,395.34
Square-C,Square-C.10.0.gr,1048576,dial-single,2208.86
Square-C,Square-C.10.0.gr,1048576,dial-random,2309.54
Square-C,Square-C.11.0.gr,1048576,dijkstra-single,304.12
Square-C,Square-C.11.0.gr,1048576,dijkstra-random,333.07
Square-C,Square-C.11.0.gr,1048576,radixheap-single,378.43
Square-C,Square-C.11.0.gr,1048576,radixheap-random,382.4
Square-C,Square-C.11.0.gr,1048576,dial-single,7786.58
Square-C,Square-C.11.0.gr,1048576,dial-random,7157.58
Square-C,Square-C.12.0.gr,1048576,dijkstra-single,303.37
Square-C,Square-C.12.0.gr,1048576,dijkstra-random,322.12
Square-C,Square-C.12.0.gr,1048576,radixheap-single,365.87
Square-C,Square-C.12.0.gr,1048576,radixheap-random,380.89
Square-C,Square-C.12.0.gr,1048576,dial-single,32283.81
Square-C,Square-C.12.0.gr,1048576,dial-random,TIMEOUT/ERR
Square-C,Square-C.13.0.gr,1048576,dijkstra-single,308.95
Square-C,Square-C.13.0.gr,1048576,dijkstra-random,318.96
Square-C,Square-C.13.0.gr,1048576,radixheap-single,363.92
Square-C,Square-C.13.0.gr,1048576,radixheap-random,373.93
Square-C,Square-C.13.0.gr,1048576,dial-single,107322.06
Square-C,Square-C.13.0.gr,1048576,dial-random,TIMEOUT/ERR
Square-C,Square-C.14.0.gr,1048576,dijkstra-single,300.98
Square-C,Square-C.14.0.gr,1048576,dijkstra-random,314.11
Square-C,Square-C.14.0.gr,1048576,radixheap-single,374.6
Square-C,Square-C.14.0.gr,1048576,radixheap-random,391.62
Square-C,Square-C.14.0.gr,1048576,dial-single,TIMEOUT/ERR
Square-C,Square-C.14.0.gr,1048576,dial-random,TIMEOUT/ERR
Square-C,Square-C.15.0.gr,1048576,dijkstra-single,338.62
Square-C,Square-C.15.0.gr,1048576,dijkstra-random,322.94
Square-C,Square-C.15.0.gr,1048576,radixheap-single,401.89
Square-C,Square-C.15.0.gr,1048576,radixheap-random,381.91
Square-C,Square-C.15.0.gr,1048576,dial-single,TIMEOUT/ERR
Square-C,Square-C.15.0.gr,1048576,dial-random,TIMEOUT/ERR
USA-road-d,USA-road-d.NY.gr,264346,dijkstra-single,37.25
USA-road-d,USA-road-d.NY.gr,264346,dijkstra-random,36.36
USA-road-d,USA-road-d.NY.gr,264346,radixheap-single,47.33
USA-road-d,USA-road-d.NY.gr,264346,radixheap-random,46.72
USA-road-d,USA-road-d.NY.gr,264346,dial-single,36.3
USA-road-d,USA-road-d.NY.gr,264346,dial-random,32.89
USA-road-d,USA-road-d.BAY.gr,321270,dijkstra-single,44.53
USA-road-d,USA-road-d.BAY.gr,321270,dijkstra-random,42.19
USA-road-d,USA-road-d.BAY.gr,321270,radixheap-single,58.2
USA-road-d,USA-road-d.BAY.gr,321270,radixheap-random,56.05
USA-road-d,USA-road-d.BAY.gr,321270,dial-single,54.84
USA-road-d,USA-road-d.BAY.gr,321270,dial-random,49.09
USA-road-d,USA-road-d.COL.gr,435666,dijkstra-single,60.09
USA-road-d,USA-road-d.COL.gr,435666,dijkstra-random,59.43
USA-road-d,USA-road-d.COL.gr,435666,radixheap-single,80.69
USA-road-d,USA-road-d.COL.gr,435666,radixheap-random,75.13
USA-road-d,USA-road-d.COL.gr,435666,dial-single,92.82
USA-road-d,USA-road-d.COL.gr,435666,dial-random,89.06
USA-road-d,USA-road-d.FLA.gr,1070376,dijkstra-single,140.67
USA-road-d,USA-road-d.FLA.gr,1070376,dijkstra-random,150.19
USA-road-d,USA-road-d.FLA.gr,1070376,radixheap-single,187.85
USA-road-d,USA-road-d.FLA.gr,1070376,radixheap-random,187.64
USA-road-d,USA-road-d.FLA.gr,1070376,dial-single,198.39
USA-road-d,USA-road-d.FLA.gr,1070376,dial-random,192.63
USA-road-d,USA-road-d.NW.gr,1207945,dijkstra-single,174.9
USA-road-d,USA-road-d.NW.gr,1207945,dijkstra-random,163.66
USA-road-d,USA-road-d.NW.gr,1207945,radixheap-single,212.81
USA-road-d,USA-road-d.NW.gr,1207945,radixheap-random,228.22
USA-road-d,USA-road-d.NW.gr,1207945,dial-single,196.9
USA-road-d,USA-road-d.NW.gr,1207945,dial-random,185.94
USA-road-d,USA-road-d.NE.gr,1524453,dijkstra-single,245.49
USA-road-d,USA-road-d.NE.gr,1524453,dijkstra-random,225.62
USA-road-d,USA-road-d.NE.gr,1524453,radixheap-single,272.48
USA-road-d,USA-road-d.NE.gr,1524453,radixheap-random,272.88
USA-road-d,USA-road-d.NE.gr,1524453,dial-single,212.05
USA-road-d,USA-road-d.NE.gr,1524453,dial-random,192.96
USA-road-d,USA-road-d.CAL.gr,1890815,dijkstra-single,289.94
USA-road-d,USA-road-d.CAL.gr,1890815,dijkstra-random,287.64
USA-road-d,USA-road-d.CAL.gr,1890815,radixheap-single,366.62
USA-road-d,USA-road-d.CAL.gr,1890815,radixheap-random,365.52
USA-road-d,USA-road-d.CAL.gr,1890815,dial-single,340.27
USA-road-d,USA-road-d.CAL.gr,1890815,dial-random,330.43
USA-road-d,USA-road-d.LKS.gr,2758119,dijkstra-single,406.59
USA-road-d,USA-road-d.LKS.gr,2758119,dijkstra-random,441.87
USA-road-d,USA-road-d.LKS.gr,2758119,radixheap-single,506.22
USA-road-d,USA-road-d.LKS.gr,2758119,radixheap-random,531.65
USA-road-d,USA-road-d.LKS.gr,2758119,dial-single,472.01
USA-road-d,USA-road-d.LKS.gr,2758119,dial-random,451.26
USA-road-d,USA-road-d.E.gr,3598623,dijkstra-single,637.23
USA-road-d,USA-road-d.E.gr,3598623,dijkstra-random,577.96
USA-road-d,USA-road-d.E.gr,3598623,radixheap-single,714.3
USA-road-d,USA-road-d.E.gr,3598623,radixheap-random,704.93
USA-road-d,USA-road-d.E.gr,3598623,dial-single,539.87
USA-road-d,USA-road-d.E.gr,3598623,dial-random,543.49
