0.300568 12 4 14 C
0.325629 12 3 14 C
0.361875 12 4 14 C
0.373641 12 5 14 C
0.404681 12 5 13 C
0.447273 12 6 13 C
0.494838 12 6 12 C
0.541912 12 6 13 C
0.565937 12 6 12 C
0.587608 12 6 13 C
0.610186 12 6 12 C
0.624924 12 7 12 C
0.668181 12 7 13 C
0.701136 12 7 12 C
0.723661 12 8 12 C
0.734264 12 9 12 C
0.762326 12 9 13 C
0.801620 12 9 12 C
0.832327 12 10 12 C
0.868269 12 9 12 C
0.915109 12 9 13 C
0.928526 12 10 13 C
0.960801 12 10 14 C
0.971710 12 9 14 C
1.017738 12 10 14 C
1.047148 12 9 14 C
1.075447 12 9 13 C
1.110247 12 9 14 C
1.125620 12 10 14 C
1.198517 12 15 15 C
0.000873 17 10 6 H
0.018683 17 10 7 H
0.033039 17 10 8 H
0.070434 17 9 8 H
0.093114 17 9 7 H
0.114123 17 9 8 H
0.144032 17 9 7 H
0.160622 17 9 8 H
0.206158 17 10 8 H
0.237725 17 9 8 H
0.250492 17 10 8 H
0.273112 17 10 7 H
0.306839 17 10 6 H
0.337366 17 9 6 H
0.363048 17 9 7 H
0.390097 17 9 6 H
0.408044 17 10 6 H
0.428092 17 11 6 H
0.466775 17 10 6 H
0.489729 17 10 5 H
0.521074 17 11 5 H
0.539505 17 10 5 H
0.566076 17 9 5 H
0.606412 17 9 6 H
0.631018 17 9 7 H
0.676572 17 9 6 H
0.720051 17 9 5 H
0.732910 17 8 5 H
0.747566 17 7 5 H
0.764741 17 7 6 H
0.794581 17 8 6 H
0.833559 17 8 7 H
0.879371 17 8 8 H
0.928335 17 8 7 H
0.974031 17 8 8 H
0.984908 17 9 8 H
0.999695 17 8 8 H
1.042670 17 8 9 H
1.086998 17 8 10 H
1.118014 17 8 11 H
1.134888 17 8 12 H
1.159976 17 9 12 H
1.194861 17 10 12 H
1.218186 17 11 12 H
1.257611 17 12 12 H
1.301084 17 11 12 H
1.316978 17 11 13 H
1.359620 17 11 12 H
1.388023 17 11 11 H
1.411606 17 12 11 H
1.428038 17 12 10 H
1.454158 17 12 11 H
1.489317 17 13 11 H
1.515566 17 14 11 H
1.530856 17 13 11 H
1.561936 17 14 11 H
1.576453 17 14 12 H
1.624937 17 14 11 H
1.642120 17 15 15 H
0.000865 13 6 7 D
0.020960 13 7 7 D
0.031873 13 7 8 D
0.051063 13 8 8 D
0.093209 13 7 8 D
0.134675 13 7 7 D
0.146382 13 8 7 D
0.189229 13 8 6 D
0.204964 13 8 7 D
0.235174 13 8 8 D
0.264006 13 9 8 D
0.308162 13 10 8 D
0.353374 13 10 7 D
0.372338 13 10 6 D
0.401283 13 11 6 D
0.426776 13 12 6 D
0.448541 13 12 5 D
0.494847 13 12 6 D
0.522382 13 11 6 D
0.567105 13 12 6 D
0.607726 13 12 7 D
0.654447 13 12 6 D
0.694512 13 11 6 D
0.722444 13 11 5 D
0.759838 13 11 6 D
0.794450 13 11 5 D
0.824174 13 11 4 D
0.861570 13 10 4 D
