1000,12,358,8901,10770,1869
1000,82,367,5524,8596,3072
1000,24,389,6936,7699,763
1000,16,360,7221,9222,2001
1000,40,380,7145,9727,2582
1000,37,374,6718,10636,3918
1000,91,365,6479,9538,3059
1000,57,357,6366,9827,3461
1000,59,380,10242,11965,1723
1000,26,367,11781,13822,2041
1000,14,378,6070,8493,2423
1000,29,349,8303,10104,1801
1000,37,363,7787,8982,1195
1000,35,365,7630,9942,2312
1000,44,357,7367,9839,2472
1000,37,375,8059,10334,2275
1000,23,375,7637,10177,2540
1000,40,350,10428,10737,309
1000,35,361,8273,10285,2012
1000,40,378,5175,10744,5569
1000,28,378,6053,8886,2833
1000,30,368,8872,9684,812
1000,67,383,6703,9720,3017
1000,33,367,7510,8906,1396
1000,20,365,9281,10883,1602
1000,23,373,8836,11000,2164
1000,58,370,10934,12470,1536
1000,51,369,8388,9595,1207
1000,25,368,6387,8871,2484
1000,23,383,10305,13353,3048
1000,22,380,7029,9349,2320
1000,34,369,9137,10664,1527
1000,39,367,5722,9373,3651
1000,32,386,5994,8076,2082
1000,14,362,9791,10105,314
1000,30,343,6351,9186,2835
1000,23,361,7455,9765,2310
1000,76,383,8462,11682,3220
1000,31,369,6630,10774,4144
1000,63,374,6460,8731,2271
1000,10,366,8238,8973,735
1000,59,384,8087,9204,1117
1000,65,379,6722,10034,3312
1000,20,364,7302,9785,2483
1000,70,374,8286,11081,2795
1000,62,363,8710,9190,480
1000,27,374,6893,10762,3869
1000,12,366,7265,10445,3180
1000,72,361,9509,10750,1241
1000,43,365,7851,10387,2536
13000,96,4813,140722,165739,25017
13000,235,4818,138120,156078,17958
13000,237,4770,115842,155704,39862
13000,138,4727,110032,152394,42362
13000,202,4790,111369,145054,33685
13000,225,4750,138336,161225,22889
13000,56,4824,117194,162212,45018
13000,37,4767,128408,151760,23352
13000,31,4743,134296,141000,6704
13000,237,4780,128910,154588,25678
13000,339,4770,117299,139419,22120
13000,117,4768,134108,153543,19435
13000,76,4836,114904,136191,21287
13000,100,4801,121905,149701,27796
13000,170,4806,138933,179784,40851
13000,192,4786,138857,166549,27692
13000,150,4792,116271,149229,32958
13000,38,4825,146206,170007,23801
13000,96,4749,140944,176120,35176
13000,193,4745,172910,190467,17557
13000,154,4778,130015,154163,24148
13000,182,4751,117516,157177,39661
13000,80,4753,171482,209690,38208
13000,260,4791,113933,192124,78191
13000,123,4795,123020,165196,42176
13000,50,4767,108239,142868,34629
13000,70,4779,143916,165030,21114
13000,54,4821,147980,202004,54024
13000,114,4817,132652,162110,29458
13000,99,4774,125154,148468,23314
13000,140,4782,144093,153295,9202
13000,70,4705,127798,162672,34874
13000,168,4785,109922,151937,42015
13000,135,4769,161216,175806,14590
13000,119,4790,124709,169326,44617
13000,209,4761,115064,160408,45344
13000,149,4826,117256,163720,46464
13000,117,4693,135512,156492,20980
13000,154,4813,108588,162508,53920
13000,54,4715,128544,150893,22349
13000,71,4765,154444,171749,17305
13000,123,4736,137657,143179,5522
13000,123,4773,130556,159830,29274
13000,44,4792,121880,153500,31620
13000,57,4805,136605,153772,17167
13000,114,4772,137448,152942,15494
13000,157,4776,161730,175235,13505
13000,103,4761,138947,195747,56800
13000,118,4774,98540,139345,40805
13000,307,4792,111551,166099,54548
25000,223,9210,241459,293531,52072
25000,266,9250,267780,309295,41515
25000,85,9126,263649,363416,99767
25000,411,9146,244366,331522,87156
25000,250,9169,270159,306358,36199
25000,106,9231,312989,366957,53968
25000,97,9127,262860,442904,180044
25000,125,9179,242161,293664,51503
25000,252,9224,270430,362644,92214
25000,104,9219,276898,336042,59144
25000,142,9209,273929,300796,26867
25000,139,9260,251220,318256,67036
25000,31,9174,254972,304418,49446
25000,152,9175,286705,309712,23007
25000,293,9190,273625,331013,57388
25000,405,9189,278241,316028,37787
25000,110,9111,239100,281746,42646
25000,133,9162,278410,303660,25250
25000,333,9231,233995,311958,77963
25000,66,9291,268086,342183,74097
25000,240,9189,292661,359504,66843
25000,227,9126,293463,392158,98695
25000,288,9163,257607,317941,60334
25000,327,9281,285666,356439,70773
25000,226,9206,243150,343000,99850
25000,128,9237,240648,362768,122120
25000,165,9241,232733,306264,73531
25000,163,9290,239843,347825,107982
25000,224,9173,295163,367657,72494
25000,219,9285,262884,370466,107582
25000,264,9146,267539,334797,67258
25000,240,9185,257643,311109,53466
25000,184,9206,254092,350571,96479
25000,101,9237,245778,340182,94404
25000,194,9233,262456,341022,78566
25000,171,9106,258412,338772,80360
25000,20,9192,243312,321140,77828
25000,142,9287,220352,301559,81207
25000,129,9322,259336,343524,84188
25000,257,9151,249744,293308,43564
25000,232,9260,260692,358054,97362
25000,259,9076,269797,304555,34758
25000,179,9147,262647,378021,115374
25000,256,9167,249155,318760,69605
25000,143,9171,246343,310487,64144
25000,313,9243,269980,353114,83134
25000,198,9113,262319,395729,133410
25000,183,9237,237515,336657,99142
25000,88,9205,258619,344192,85573
25000,143,9312,271423,411934,140511
37000,330,13640,428867,477212,48345
37000,75,13600,381695,487780,106085
37000,323,13612,465887,640231,174344
37000,230,13529,353415,501097,147682
37000,554,13520,443332,532626,89294
37000,128,13695,362846,570795,207949
37000,230,13738,394554,445694,51140
37000,218,13636,382371,452584,70213
37000,108,13679,379573,479064,99491
37000,250,13536,374530,443072,68542
37000,185,13655,391096,590589,199493
37000,67,13591,503544,603640,100096
37000,177,13612,378374,515782,137408
37000,248,13560,462832,488349,25517
37000,197,13656,386416,461412,74996
37000,485,13589,457008,465876,8868
37000,92,13584,427665,615329,187664
37000,135,13531,398386,639851,241465
37000,233,13620,480423,537890,57467
37000,258,13673,378630,515650,137020
37000,118,13554,409704,503883,94179
37000,244,13486,456747,536006,79259
37000,337,13645,421079,539913,118834
37000,469,13714,404301,488825,84524
37000,279,13587,430810,504625,73815
37000,198,13594,405135,558447,153312
37000,278,13596,396828,479531,82703
37000,219,13606,390268,587567,197299
37000,86,13523,376830,439331,62501
