n,B,U,C,D,D-C
4000,51,1467,36629,40205,3576
4000,82,1456,30739,46706,15967
4000,67,1481,38028,46971,8943
4000,76,1478,29920,39590,9670
4000,15,1472,38909,55355,16446
4000,53,1485,37058,45062,8004
4000,64,1474,34614,42502,7888
4000,47,1475,38148,47747,9599
4000,118,1459,35325,39422,4097
4000,22,1468,34876,45328,10452
4000,77,1501,30499,45858,15359
4000,63,1493,36878,41607,4729
4000,50,1451,34738,45249,10511
4000,77,1420,34525,38435,3910
4000,95,1448,37795,43011,5216
4000,114,1463,33612,40840,7228
4000,12,1456,39176,42999,3823
4000,136,1480,33146,43128,9982
4000,101,1477,33730,49627,15897
4000,84,1478,32850,40779,7929
4000,173,1468,47934,52567,4633
4000,102,1499,30937,45924,14987
4000,89,1439,35927,45895,9968
4000,79,1499,40695,42112,1417
4000,86,1468,37215,48328,11113
4000,71,1470,31497,41057,9560
4000,62,1455,28532,36044,7512
4000,89,1489,45250,47217,1967
4000,53,1462,32723,53964,21241
4000,124,1494,36432,41390,4958
5000,136,1813,46081,49194,3113
5000,67,1829,48810,53654,4844
5000,126,1781,59594,59604,10
5000,54,1811,35169,48529,13360
5000,125,1820,57787,74855,17068
5000,64,1856,46924,56855,9931
5000,113,1821,39846,61508,21662
5000,189,1825,52370,58021,5651
5000,245,1884,50401,55133,4732
5000,105,1818,42969,56033,13064
5000,83,1826,43986,48549,4563
5000,40,1868,41174,66132,24958
5000,93,1825,44082,50599,6517
5000,157,1835,37597,49879,12282
5000,93,1842,44258,45066,808
5000,107,1876,40689,52751,12062
5000,73,1828,43463,74349,30886
5000,159,1825,45872,57603,11731
5000,152,1841,56407,58330,1923
5000,126,1844,39754,52350,12596
5000,108,1845,38193,60750,22557
5000,66,1813,42742,76840,34098
5000,125,1799,42546,54352,11806
5000,40,1846,40766,53704,12938
5000,22,1841,46598,71733,25135
5000,71,1851,36243,48157,11914
5000,151,1874,43604,54113,10509
5000,85,1840,40602,56643,16041
5000,75,1817,53091,55429,2338
5000,100,1832,37515,52599,15084
5000,46,1826,39360,53089,13729
5000,134,1834,42830,63228,20398
5000,63,1846,38638,55952,17314
5000,33,1834,49916,55580,5664
5000,75,1835,45555,66763,21208
5000,60,1786,44471,52560,8089
5000,155,1852,41738,71524,29786
5000,64,1819,43074,53774,10700
5000,25,1808,38108,53097,14989
5000,140,1830,37825,57926,20101
5000,30,1884,44228,52695,8467
5000,79,1845,58907,61175,2268
5000,54,1852,52744,54923,2179
